filename,filename2,type,label,id,id2,sentence,sentence2,expected
1201-sanity-sanity0-1.png,1202-sanity-sanity0-1.png,sanity,sanity1,1201,1202,"I saw a lone <x>duck</x> swimming on the pond, such colorful feathers","… it's like the old cold war drills, telling people to <x>duck</x> and cover under a table",0
1211-sanity-sanity100-11.png,1212-sanity-sanity100-11.png,sanity,sanity11,1211,1212,"MY <x>DOG</x> IS AWESOME, I love this guy 😂","His <x>dog</x> is soo cute, I Love This Guy 🤣",100
1213-sanity-sanity100-12.png,1214-sanity-sanity100-12.png,sanity,sanity12,1213,1214,My <x>co-worker</x>s were teasing me yesterday because I ate a hot dog and then ate some broccoli and cauliflower right after,My <x>co-worker</x> was teasing me yesterday because I ate a hot dog and then ate some broccoli and cauliflower right after,100
1215-sanity-sanity100-13.png,1216-sanity-sanity100-13.png,sanity,sanity13,1215,1216,Get yourself a cup of hot chocolate and grab some <x>🍩</x> 🍩 🍩 #sunday #donuts,"I just felt like eating a <x>🍩</x> today, so I did",100
1217-sanity-sanity100-14.png,1218-sanity-sanity100-14.png,sanity,sanity14,1217,1218,It was a gift for my #<x>birthday</x> 😁 and I adore it,"Can't wait for my <x>birthday</x>, its gonna be amazeballs",100
1219-sanity-sanity100-15.png,1220-sanity-sanity100-15.png,sanity,sanity15,1219,1220,"… wanted to love #ArmyOfTheDead, but Nah. there's a great <x>Movie</x> in there somewhere but at two and a half hours it becomes a mishmash of …",… I had no idea what was going on. I watch <x>movie</x>s regularly but I just could not follow the plot here …,100
1203-sanity-sanity0-2.png,1204-sanity-sanity0-2.png,sanity,sanity2,1203,1204,"My <x>dog</x> is awesome, I love this little furball 😂😂😂",… the technically superior American aircraft shot down a number of aircraft during aerial <x>dog</x> fights over Europe. #warplanes #WW2 #dogfights,0
1205-sanity-sanity0-3.png,1206-sanity-sanity0-3.png,sanity,sanity3,1205,1206,I was going through the <x>content</x> and I gotta say... it's not bad,he wasn't exactly happy with the boss but was still <x>content</x> to go on with it. It's not too bad actually.,0
1207-sanity-sanity0-4.png,1208-sanity-sanity0-4.png,sanity,sanity4,1207,1208,"I lost my <x>lighter</x>, how the hell am I supposed to go on being a chainsmoker now??😂","I have a <x>lighter</x> work load now, so I should be able to find time for this yeah",0
1209-sanity-sanity0-5.png,1210-sanity-sanity0-5.png,sanity,sanity5,1209,1210,"""For whom the bell <x>tolls</x>"" is still an absolute classic song","One thing though: road <x>tolls</x> suck. why the hell do I need to pay toll for driving on a road, I already pay for gas?! #crazy",0
1-emojiclaps_NA-left-NA.png,3-emojiclaps_NA-left-NA.png,LL,emojiclaps_NA,1,3,… first Huskies Baseball Employee of the Week of 2021 is Michael Golubiewski<x>👏</x> Thank you Mike for your service to the students and dedication to the …,My Mom combing her Valentine’s hair. It will be 54 years in September. ❤ <x>👏</x> I took this picture years ago. I was walking down the hall and there they …,NA
2-emojiclaps_NA-left-NA.png,17-emojiclaps_NA-left-NA.png,LL,emojiclaps_NA,2,17,… <x>👏</x>🌹#Nowyoumustputyourattentiononbeingelectedtorepresentourcountry. “We are in need of your Leadership Skills”. MEETING WITH PRESIDENT …,I wanna know who the “sis” is that set this entire debacle in motion! <x>👏</x> 👏 👏 You must be dying watching this thing unfold!,NA
